コメダ珈琲店,,,,12/28(水),,12/29(木),,12/30(金),,12/31(土),,1/1(日),,1/2(月),,1/3(火),,1/4(水),,
都道府県,店舗名,市,TEL,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,備考
,豊川末広通店,豊川市,0533-80-7123,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,7:00,21:00,
,小坂井店,豊川市,0533-78-5959,7:00,19:00,7:00,19:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,19:00,
,豊川御油店,豊川市,0533-87-3552,7:00,23:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,23:00,
,豊田梅坪店,豊田市,0565-32-8077,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,9:00,17:00,8:00,17:00,8:00,17:00,7:00,21:00,
,豊田前田店,豊田市,0565-34-4152,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,9:00,17:00,8:00,17:00,8:00,17:00,7:00,18:00,
,豊田本新町店,豊田市,0565-32-8800,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,9:00,17:00,8:00,17:00,8:00,17:00,7:00,18:00,
,豊田若林西店,豊田市,0565-54-4770,7:00,17:00,7:00,17:00,7:00,17:00,8:00,16:00,9:00,16:00,9:00,16:00,9:00,16:00,8:00,16:00,
,豊明前後店,豊明市,0562-92-6717,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,8:00,18:00,8:00,18:00,7:00,22:00,
,師勝店,北名古屋市,0568-23-0260,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,21:00,
,港店,名古屋市港区,052-654-5020,7:00,18:00,7:00,16:00,7:00,16:00,休,休,休,休,7:00,16:00,7:00,16:00,7:00,18:00,
,南陽町店,名古屋市港区,052-302-8314,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,
,港栄店,名古屋市港区,052-654-3344,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,10:00,17:30,8:00,17:30,8:00,17:30,7:00,22:00,
,守山城下店,名古屋市守山区,052-796-2066,7:00,22:30,7:00,22:30,7:00,22:30,7:00,18:00,8:00,16:00,8:00,16:00,8:00,16:00,7:00,22:30,
,守山口店,名古屋市守山区,052-795-8581,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,21:30,
,守山八剣店,名古屋市守山区,052-798-2788,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,8:00,17:00,8:00,17:00,8:00,17:00,7:00,21:00,
,守山白沢店,名古屋市守山区,052-796-1115,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,23:00,
,守山瀬古店,名古屋市守山区,052-791-3181,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,23:00,
,守山志段味店,名古屋市守山区,052-736-0658,7:00,22:00,7:00,22:00,7:00,22:00,7:00,19:00,9:00,18:00,7:00,19:00,7:00,19:00,7:00,22:00,
,松風店,名古屋市昭和区,052-881-8523,7:00,16:00,7:00,16:00,7:00,16:00,7:00,12:00,休,休,休,休,休,休,休,休,
,東郊通店,名古屋市昭和区,052-871-5518,5:00,17:00,5:00,17:00,5:00,15:00,5:00,13:00,休,休,5:00,15:00,5:00,15:00,5:00,17:00,
,山手店,名古屋市昭和区,052-833-1417,9:00,19:00,9:00,19:00,9:00,19:00,9:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,19:00,
,恵方店,名古屋市昭和区,052-851-7848,7:30,21:00,7:30,21:00,7:30,17:00,7:30,17:00,休,休,7:30,17:00,7:30,17:00,7:30,21:00,
,イオン八事店,名古屋市昭和区,052-385-0899,9:00,21:00,9:00,21:00,9:00,21:00,9:00,20:00,9:00,20:00,9:00,20:00,9:00,21:00,9:00,21:00,
,本店,名古屋市瑞穂区,052-833-2888,6:30,23:30,6:30,23:30,6:30,23:30,6:30,17:00,9:00,18:00,6:30,23:30,6:30,23:30,6:30,23:30,
,瑞穂運動場店,名古屋市瑞穂区,052-861-1900,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,21:00,
,桜山店,名古屋市瑞穂区,052-853-9277,7:00,21:00,7:00,21:00,7:00,21:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,21:00,
,瑞穂通四丁目店,名古屋市瑞穂区,052-853-2777,8:00,20:30,8:00,20:30,8:00,20:30,8:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,8:00,20:30,
,庄内通店,名古屋市西区,052-532-0786,6:00,18:00,6:00,18:00,6:00,18:00,6:30,17:00,9:00,17:00,8:00,17:00,8:00,17:00,6:00,17:00,
愛知県,児玉店,名古屋市西区,052-532-4775,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,
,上名古屋店,名古屋市西区,052-522-1127,7:30,18:00,7:30,18:00,7:30,18:00,7:30,16:00,休,休,9:00,16:00,5:30,18:00,7:30,18:00,
,中小田井店,名古屋市西区,052-502-1116,6:30,21:00,6:30,21:00,6:30,21:00,6:30,18:00,8:00,18:00,8:00,18:00,8:00,18:00,6:30,18:00,1月5日 開店時間6:30 閉店時間18:00
,栄生駅前店,名古屋市西区,052-485-9267,6:30,20:00,6:30,20:00,6:30,20:00,6:30,17:00,休,休,8:00,18:00,8:00,18:00,6:30,20:00,
,ルーセントタワー店,名古屋市西区,052-581-3511,7:00,17:00,7:00,12:00,休,休,休,休,休,休,休,休,休,休,7:00,17:00,
,円頓寺店,名古屋市西区,052-446-6621,7:00,20:00,7:00,19:00,7:00,17:00,休,休,休,休,休,休,休,休,7:00,19:00,
,イオンモール則武新町店,名古屋市西区,052-526-7721,7:30,22:00,7:30,22:00,7:30,22:00,7:30,20:00,9:00,22:00,7:30,22:00,7:30,22:00,7:30,22:00,
,吹上店,名古屋市千種区,052-735-0685,6:00,22:30,6:00,22:30,6:00,22:30,6:00,17:00,8:00,18:00,8:00,18:00,8:00,18:00,6:00,22:30,
,池下店,名古屋市千種区,052-757-5663,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,9:00,18:00,8:00,18:00,8:00,18:00,7:00,21:00,
,イオンタウン千種店,名古屋市千種区,052-734-5245,8:00,21:00,8:00,21:00,8:00,21:00,8:00,20:00,9:00,20:00,9:00,21:00,9:00,21:00,8:00,21:00,
,星ヶ丘店,名古屋市千種区,052-782-2007,7:00,22:00,6:00,22:00,7:00,22:00,7:00,17:00,10:00,17:00,8:00,17:30,8:00,17:30,7:00,22:00,
,覚王山店,名古屋市千種区,052-757-3521,7:00,21:00,7:00,21:00,7:00,17:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,20:00,
,千種駅前店,名古屋市千種区,052-364-9021,7:00,22:00,7:00,22:00,7:00,17:00,7:00,17:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,22:00,
,上前津店,名古屋市中区,052-242-1957,7:00,20:00,7:00,20:00,7:00,20:00,7:00,17:00,9:00,17:00,7:00,20:00,7:00,20:00,7:00,20:00,
,本町店,名古屋市中区,052-201-4009,6:00,19:00,6:00,19:00,6:00,19:00,6:00,18:00,9:00,18:00,8:00,18:00,8:00,18:00,6:00,19:00,
,新栄店,名古屋市中区,052-252-5186,7:00,19:00,7:00,19:00,7:00,19:00,7:00,17:00,休,休,7:00,19:00,7:00,19:00,7:00,19:00,
,平和店,名古屋市中区,052-322-9588,7:00,18:00,7:00,18:00,5:00,16:00,7:00,12:00,8:00,16:00,8:00,16:00,8:00,16:00,7:00,18:00,
,栄鉄砲町店,名古屋市中区,052-232-4567,7:00,18:00,9:00,18:00,9:00,17:00,休,休,休,休,10:00,17:00,9:00,17:00,9:00,18:00,5日~8日 9:00-18:00
,富士見橋店,名古屋市中区,052-350-5055,7:00,21:00,7:00,20:00,7:00,20:00,7:00,17:00,9:00,17:00,9:00,18:00,9:00,18:00,7:00,20:00,5日・6日 7:00-20:00
,日置橋店,名古屋市中区,052-322-9939,6:30,22:00,6:30,22:00,6:30,22:00,6:30,17:00,8:00,17:00,8:00,17:00,8:00,17:00,6:30,17:00,1/5 開店6:30 閉店17:00
,栄・広小路店,名古屋市中区,052-973-4321,7:00,19:00,休,休,休,休,休,休,休,休,休,休,休,休,7:00,19:00,
,桜橋店,名古屋市中区,052-211-1022,7:00,18:00,7:00,18:00,7:00,17:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,18:00,
,栄四丁目店,名古屋市中区,052-243-1121,7:00,22:00,7:00,22:00,7:00,17:00,7:00,17:00,休,休,8:00,19:00,8:00,19:00,7:00,22:00,
,栄三丁目店,名古屋市中区,052-243-2021,7:00,23:00,7:00,23:00,5:00,23:00,7:00,20:00,休,休,7:00,20:00,7:00,20:00,7:00,23:00,
,桜通大津店,名古屋市中区,052-971-3456,7:00,21:00,7:00,17:00,7:00,17:00,休,休,休,休,7:00,19:00,7:00,19:00,7:00,21:00,
,栄五丁目店,名古屋市中区,052-253-5566,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,8:00,20:00,7:00,22:00,7:00,22:00,7:00,22:00,
,セントラルパーク店,名古屋市中区,052-959-5569,9:00,21:30,9:00,21:30,9:00,21:30,7:30,18:00,休,休,9:00,20:30,9:00,20:30,9:00,21:30,
,矢場町店,名古屋市中区,052-242-3421,7:00,22:30,7:00,22:30,7:00,17:00,7:00,17:00,休,休,7:00,19:00,7:00,19:00,7:00,22:30,
,金山二丁目店,名古屋市中区,052-253-6121,7:00,20:00,7:00,20:00,7:00,17:00,7:00,17:00,休,休,休,休,休,休,7:00,20:00,
,錦・伊勢町通店,名古屋市中区,052-963-3621,6:30,3:00,6:30,3:00,6:30,3:00,6:30,19:00,6:30,12:00,6:30,17:00,6:30,17:00,6:30,3:00,
,栄一丁目店,名古屋市中区,052-253-5621,7:00,21:00,7:00,19:00,7:00,19:00,7:00,17:00,休,休,7:00,19:00,7:00,19:00,7:00,21:00,
,大須スケートリンク店,名古屋市中区,052-253-7521,7:00,18:00,7:00,18:00,7:00,18:00,7:00,16:00,休,休,7:00,18:00,7:00,18:00,7:00,18:00,
,BINO栄店,名古屋市中区錦3丁目,052-212-7121,7:30,23:00,7:30,23:00,7:30,23:00,7:30,21:00,休,休,7:30,23:00,7:30,23:00,7:30,23:00,
,五女子店,名古屋市中川区,050-3747-1376,6:00,18:00,6:00,18:00,6:00,18:00,6:00,15:00,6:00,16:00,6:00,16:00,6:00,16:00,6:00,18:00,
,法華店,名古屋市中川区,052-354-4546,6:30,18:00,6:30,18:00,6:30,18:00,6:30,16:00,9:00,16:00,8:00,17:00,8:00,17:00,6:30,17:00,
,四女子店,名古屋市中川区,052-363-2626,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,休,休,休,休,休,休,6:30,18:00,
,昭和橋店,名古屋市中川区,052-353-0688,7:00,20:00,7:00,20:00,7:00,20:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,20:00,
,中川玉川町店,名古屋市中川区,052-661-3107,6:30,22:00,6:30,22:00,6:30,22:00,6:30,17:00,9:00,17:30,8:00,17:30,8:00,17:30,6:30,22:00,
,岩塚店,名古屋市中村区,052-482-0688,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,21:00,
,鳥居通店,名古屋市中村区,052-483-0688,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,21:00,
,稲葉地店,名古屋市中村区,052-411-4711,6:00,22:30,6:00,22:30,6:00,22:30,6:00,16:00,7:00,17:00,7:00,17:00,7:00,17:00,6:00,22:30,
,エスカ店,名古屋市中村区,052-454-3883,7:00,21:00,7:00,21:00,7:00,21:00,7:00,19:00,休,休,7:00,20:30,7:00,20:30,7:00,21:00,
,ユニモール店,名古屋市中村区,052-583-5525,7:30,21:00,7:30,21:00,7:30,21:00,8:00,18:00,休,休,9:00,20:30,8:00,16:00,7:30,21:00,
,名古屋駅西店,名古屋市中村区,052-414-6721,7:00,21:00,7:00,21:00,7:00,17:00,7:00,17:00,休,休,8:00,18:00,8:00,18:00,7:00,21:00,
,マーケットスクエアささしま店,名古屋市中村区,052-433-8821,7:00,21:00,7:00,21:00,7:00,17:00,7:00,17:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,21:00,
,野並店,名古屋市天白区,052-896-7266,7:00,17:00,7:00,17:00,7:00,17:00,7:00,16:00,休,休,休,休,7:00,16:00,7:00,16:00,1月5日 開店 7時  閉店 18時
,植田店,名古屋市天白区,052-804-6858,6:00,22:30,6:00,22:30,6:00,22:30,6:00,16:00,8:00,17:00,8:00,17:00,8:00,17:00,6:00,22:30,
,平針試験場前店,名古屋市天白区,052-801-3074,7:00,19:00,7:00,19:00,7:00,17:00,休,休,休,休,休,休,8:00,17:00,7:00,19:00,
,天白土原店,名古屋市天白区,052-805-2233,7:00,23:00,7:00,23:00,7:00,23:00,7:00,16:00,8:00,17:00,8:00,17:00,8:00,17:00,7:00,23:00,
,高岳店,名古屋市東区,なし,7:00,17:00,7:00,17:00,7:00,17:00,休,休,休,休,休,休,休,休,休,休,
,葵店,名古屋市東区,052-936-0158,6:00,23:00,6:00,23:00,6:00,23:00,6:00,18:00,9:00,18:00,6:00,23:00,6:00,23:00,6:00,23:00,
,砂田橋店,名古屋市東区,052-721-1223,7:00,20:00,7:00,19:00,7:00,18:00,7:00,14:00,休,休,8:00,17:00,7:00,18:30,7:00,19:30,
,錦東櫻店,名古屋市東区,052-935-0220,7:00,23:30,7:00,23:30,7:00,23:00,7:00,17:00,休,休,9:00,18:00,7:00,18:00,7:00,23:00,
,メッツ大曽根店,名古屋市東区,052-723-0335,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,22:00,
,白壁店,名古屋市東区,052-931-6243,7:00,22:00,7:00,22:00,7:00,17:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,16:00,7:00,22:00,
,テレピア店,名古屋市東区,052-972-6202,8:00,18:00,休,休,休,休,休,休,休,休,休,休,休,休,8:00,18:00,
,東桜武平通店,名古屋市東区,052-962-7737,7:00,23:00,休,休,休,休,休,休,休,休,休,休,休,休,7:00,23:00,
,イオンモールナゴヤドーム前店,名古屋市東区,052-725-6449,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:00,8:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,
,道徳店,名古屋市南区,052-692-7360,7:00,16:00,7:00,16:00,7:00,16:00,7:00,12:00,休,休,休,休,7:00,12:00,7:00,12:00,1/5 閉店12:00
,中割店,名古屋市南区,052-613-3956,7:00,17:00,7:00,17:00,7:00,17:00,7:00,15:00,8:00,17:00,8:00,17:00,8:00,17:00,7:00,17:00,
,白雲店,名古屋市南区,052-822-7778,8:00,17:00,8:00,17:00,5:00,16:00,8:00,16:00,休,休,10:00,16:00,10:00,17:00,9:00,17:00,
,桜台店,名古屋市南区,052-825-0126,7:00,22:30,7:00,22:30,7:00,22:30,7:00,20:00,8:00,17:00,8:00,17:00,8:00,17:00,7:00,22:30,
,前浜店,名古屋市南区,052-811-9288,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,21:00,
,忠次店,名古屋市南区,052-694-5366,7:00,20:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,17:00,
,イオンモール新瑞橋店,名古屋市南区,052-829-3220,8:00,21:00,8:00,21:00,8:00,21:00,8:00,20:00,8:00,21:00,8:00,21:00,8:00,21:00,8:00,21:00,
,伝馬町店,名古屋市熱田区,052-682-1763,8:00,19:00,8:00,19:00,8:00,18:30,8:00,16:00,休,休,9:30,16:30,9:30,18:30,8:00,18:30,1月5日8:00~18:30、1月6日休
,日比野店,名古屋市熱田区,052-682-4557,7:00,18:00,休,休,7:00,18:00,7:00,16:00,休,休,7:00,18:00,7:00,18:00,7:00,18:00,1/5 休(定休日)
,西高蔵店,名古屋市熱田区,052-683-7221,7:00,19:00,7:00,17:00,休,休,休,休,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,
,城北店,名古屋市北区,052-916-5966,7:00,19:00,7:00,19:00,7:00,17:00,7:00,12:00,休,休,休,休,7:00,19:00,7:00,19:00,
,安井店,名古屋市北区,052-917-5991,8:00,21:00,8:00,21:00,8:00,21:00,8:00,16:00,休,休,休,休,8:00,16:00,8:00,16:00,1月5日開店時間8:00 閉店時間16時:00
,如意店,名古屋市北区,052-902-3255,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,平安通店,名古屋市北区,052-982-3988,6:30,21:30,6:30,21:30,6:30,21:30,6:30,17:00,6:30,17:00,6:30,17:00,6:30,17:00,6:30,21:30,
,大杉店,名古屋市北区,052-991-5617,6:30,18:00,6:30,18:00,6:30,18:00,6:30,16:30,8:00,16:30,8:00,16:30,8:00,16:30,6:30,18:00,
,ZENT名古屋北店,名古屋市北区,052-982-6551,9:00,19:00,9:00,19:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,9:00,19:00,
,名東藤森店,名古屋市名東区,052-771-0678,6:00,18:30,6:00,18:30,6:00,18:30,6:00,17:00,8:00,17:00,7:00,17:00,7:00,17:00,6:00,18:30,
,名東山の手店,名古屋市名東区,052-769-6207,7:00,22:30,7:00,22:30,7:00,22:30,7:00,17:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,22:30,
,本郷駅前店,名古屋市名東区,052-760-4199,7:00,22:00,7:00,17:00,7:00,17:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,貴船店,名古屋市名東区,052-703-5551,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,9:00,18:00,7:00,17:00,7:00,17:00,7:00,21:00,
,イオン名古屋東店,名古屋市名東区,052-775-3939,7:30,21:30,7:30,21:30,7:30,21:30,7:30,21:30,7:30,21:30,7:30,21:30,7:30,21:30,7:30,21:30,
,一社店,名古屋市名東区,052-701-4161,7:00,21:30,7:00,21:30,7:00,21:30,7:00,18:00,8:00,19:00,8:00,20:00,8:00,20:00,7:00,21:30,
,浦里店,名古屋市緑区,052-895-8458,5:30,17:30,5:30,17:30,5:30,17:30,5:30,12:00,休,休,休,休,休,休,6:00,14:00,
,滝ノ水店,名古屋市緑区,052-895-2667,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,8:00,18:00,8:00,18:00,7:00,18:00,
,篭山店,名古屋市緑区,052-877-6660,6:00,22:00,6:00,22:00,6:00,22:00,6:00,17:30,休,休,8:00,18:00,8:00,18:00,6:00,22:00,
,大高店,名古屋市緑区,052-622-6877,6:30,20:30,6:30,20:30,6:30,20:30,6:30,17:00,休,休,9:00,17:00,9:00,17:00,6:30,17:00,
,有松店,名古屋市緑区,052-624-6977,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,休,休,9:00,17:00,9:00,17:00,7:00,17:00,1月5日 開店時間7:00 閉店時間18:00
,姥子山店,名古屋市緑区,052-624-7652,6:00,23:00,6:00,23:00,6:00,23:00,6:00,18:00,6:00,18:00,6:00,18:00,6:00,18:00,6:00,23:00,
,イオンタウン有松店,名古屋市緑区,052-626-2358,8:00,20:00,8:00,20:00,8:00,20:00,8:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,8:00,18:00,1月5日 開店時間8:00 閉店時間18:00
,イオンモール大高店,名古屋市緑区,052-626-2830,10:00,22:00,10:00,22:00,10:00,22:00,10:00,21:00,9:00,21:00,10:00,22:00,10:00,22:00,10:00,22:00,
,弥富東店,弥富市,0567-65-8221,7:00,21:30,7:00,21:30,7:00,21:30,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,21:30,
三重県,いなべ店,いなべ市,0594-84-2555,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,休,休,8:30,17:30,8:00,17:30,7:00,21:00,
,伊賀上野店,伊賀市,0595-26-6120,7:30,23:00,7:30,23:00,7:30,23:00,7:30,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:30,18:00,
,伊勢楠部店,伊勢市,0596-20-0888,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:30,休,休,9:00,21:00,9:00,21:00,7:00,21:00,
,伊勢上地店,伊勢市,0596-20-5151,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,伊勢一之木店,伊勢市,0596-21-2888,7:30,21:00,7:30,21:00,7:30,21:00,7:30,16:30,休,休,9:00,21:00,9:00,21:00,7:30,21:00,
,亀山上野店,亀山市,0595-97-3800,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,休,休,7:00,21:30,7:00,21:30,7:00,21:30,
,桑名広見ケ丘店,桑名市,0594-32-5688,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,桑名中央通店,桑名市,0594-23-8877,7:00,20:00,7:00,20:00,7:00,20:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,20:00,
,菰野店,三重郡菰野町,059-391-1515,7:00,15:30,7:00,15:30,7:00,15:30,7:00,15:30,休,休,9:00,17:00,9:00,17:00,9:00,17:00,
,四日市生桑店,四日市市,059-333-6620,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:30,9:00,17:30,7:00,22:00,
,四日市病院前店,四日市市,059-352-5890,7:15,21:00,7:15,21:00,7:15,21:00,7:15,17:00,休,休,8:00,17:00,8:00,17:00,7:15,21:00,
,四日市富田店,四日市市,059-361-7252,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,22:00,
三重県,四日市笹川通店,四日市市,059-345-2014,7:00,17:30,7:00,17:30,7:00,17:30,7:00,17:30,休,休,9:00,17:30,9:00,17:30,7:00,17:30,
,近鉄四日市店,四日市市,059-328-4147,7:00,20:30,7:00,20:30,7:00,20:30,7:00,17:30,休,休,9:00,18:00,9:00,18:00,7:00,20:30,
,鵜方店,志摩市,0599-44-2777,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,松阪中央店,松阪市,0598-53-1234,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,松阪花岡店,松阪市,0598-25-5678,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,伊勢中川店,松阪市,0598-42-8512,7:00,21:00,7:00,21:00,7:00,21:00,7:00,16:00,休,休,休,休,7:00,21:00,7:00,21:00,
,松阪殿町店,松阪市,0598-30-6677,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,松阪川井町店,松阪市,0598-25-2500,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,津みなみ店,津市,059-271-7575,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,休,休,9:00,21:00,7:00,21:00,7:00,21:00,
,久居店,津市,059-254-6111,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,津中央店,津市,059-222-4000,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,23:00,7:00,23:00,7:00,23:00,
,津・県総合文化センター前店,津市,059-232-2000,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,休,休,9:00,23:00,7:00,23:00,7:00,23:00,
,尾鷲店,尾鷲市,0597-22-1251,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,8:00,17:00,7:00,22:00,7:00,22:00,
,名張店,名張市,0595-62-5525,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,22:00,
,白子稲生店,鈴鹿市,059-388-7101,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,22:00,
,鈴鹿中央通り店,鈴鹿市,059-383-1773,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,23:00,
滋賀県,近江八幡店,近江八幡市,0748-36-3895,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,23:00,
,栗東綣店,栗東市,077-551-1002,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,8:00,20:00,7:00,23:00,7:00,23:00,
,湖南店,湖南市,0748-60-4717,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,7:00,17:00,7:00,22:00,
,水口店,甲賀市,0748-63-2328,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,7:00,17:00,7:00,22:00,
,イオンモール草津店,草津市,077-599-5101,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,
,南草津店,草津市,077-558-7085,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,7:00,0:00,
,エルティ草津店,草津市,077-596-3655,7:00,22:30,7:00,22:30,7:00,22:30,7:00,18:00,10:00,17:00,9:00,17:00,9:00,17:00,8:00,18:00,1月5日開店8時閉店18時
,大津皇子が丘店,大津市,077-511-9681,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,8:00,20:00,7:00,23:00,7:00,23:00,
,大津堅田店,大津市,077-574-6777,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,8:00,20:00,7:00,23:00,7:00,23:00,
,瀬田川唐橋店,大津市,077-547-3611,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,8:00,20:00,7:00,22:00,7:00,22:00,
,長浜八幡中山店,長浜市,0749-62-5110,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,8:00,18:00,7:00,18:00,7:00,23:00,7:00,23:00,
,東近江八日市店,東近江市,0748-25-5333,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,
,東近江五個荘店,東近江市,0748-26-8094,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,8:00,18:00,8:00,18:00,7:00,22:00,
,彦根駅東店,彦根市,0749-27-0898,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,8:00,18:00,7:00,18:00,7:00,18:00,7:00,23:00,
,彦根平田店,彦根市,0749-24-7071,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,8:00,18:00,7:00,18:00,7:00,18:00,7:00,23:00,
